# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 44, mean track length: 2
1 2.6338931590584527 0.76010907726173504 7.6249285382331715 226 221 222 0.39396963254158579 9 497 6 5
2 2.8579120970725178 0.99527673070103206 7.5515140216391785 201 201 197 0.0050710606097910246 9 1246 6 6
3 1.9530172609905123 0.94079925241421392 8.5898873660317019 138 123 115 1.0271108538622324 9 349 6 22
4 2.2505957728315633 0.82189291910251383 8.2538548644146346 192 187 168 0.34563215097340372 9 1110 6 27
6 2.6326347310670868 0.13548479363965238 8.051687918377306 50 80 113 1.1363506164045498 9 838 6 49
8 2.2729634977379369 0.74727992517886155 8.2227619852574065 133 127 117 0.1354666524655688 9 1323 6 71
9 0.69980999475424355 0.21223691051609805 8.7158219460083224 107 123 141 0.66559967170757228 9 1114 6 72
10 2.0895539207682146 0.28495585651025895 8.4549753150401585 172 169 155 1.118007582346334 9 1357 6 125
11 2.826334305524691 0.75025412279190162 7.267756257745094 228 223 219 0.46140072900596596 9 2006 6 178
12 2.1234087543360887 0.78485401965932744 8.3953920974672496 206 185 163 0.63441320328921535 9 417 6 181
13 2.1788578847490121 0.76197502834896624 8.3906091869724388 150 137 128 0.17898165978302866 9 1616 6 223
14 2.0384840995463889 -0.88469844949543841 8.5709045738125589 107 148 210 1.529023753951003 9 378 6 224
15 2.0024132452238002 0.54446838666396469 8.4197284698551051 69 68 73 0.66014434009069278 9 494 6 238
16 2.2452073108141035 0.9337419695685647 8.3109875178102595 155 143 133 0.61430381523086464 9 1491 6 258
17 2.1993126762075295 0.69305931535336018 8.2223472049770692 219 208 203 1.4766748115115085 9 1637 6 286
18 2.1991579010031623 0.60951743863246477 8.2599989190941354 61 51 49 1.8292853017961894 9 735 6 302
19 1.7600897800375126 0.42121210059834668 8.5070994130141369 98 94 88 1.4048062358042788 9 1056 6 305
20 1.2295908598649856 0.19412812052522566 8.6615250646429764 168 178 186 0.072928796745177507 9 861 6 320
21 2.7150835647831517 0.76233293209164577 7.3755110965635637 235 226 224 0.29780350899229752 9 1869 6 322
22 1.9464824363253412 0.25799020326023436 8.4487380743443037 112 120 138 0.26433631232025906 9 175 6 332
23 3.3961521426178054 0.67235280291666211 5.2538898638580083 246 236 218 1.3312677226343594 9 338 6 360
24 1.8635464945143903 0.74444517556096668 8.4445815769184787 111 103 100 0.469544658469635 9 1540 6 371
25 1.4067994962358821 0.27358974184815393 8.6204361999712038 154 162 181 1.3735844311560086 9 1029 6 388
26 0.71682015399339649 -0.017013713073504185 8.9696399870422336 175 187 211 0.46960091668243331 9 1607 6 520
27 2.1799372654000697 0.90631405442627877 8.2969525072726071 168 150 125 0.58975708994896314 9 1045 6 523
28 1.2146033083342045 0.27041690472110363 8.6099052523960946 77 41 45 0.3159772825936023 9 1575 6 538
29 0.90361750459004486 0.082114243501820075 8.7230158115696241 161 175 205 0.63234184574288421 9 336 6 543
30 2.3020885894838634 0.69076408743531703 8.180324717316811 224 203 193 1.4256569826656444 9 1599 6 692
31 0.58549939296526832 0.23730773246260695 8.7045265841596429 149 158 178 0.30675933240279546 9 1665 6 772
32 0.47798993648998211 -0.18748967617299037 9.101648253251458 210 214 223 0.092711081025750763 9 1870 6 1091
33 2.075226532501115 0.73227812296594996 8.3457114480839483 199 188 171 1.1533689375828318 9 1507 6 1116
34 2.144046401936746 0.61769208509143925 8.2626492111454883 79 68 58 1.2084246331956523 9 37 6 1126
35 2.9297326403999233 0.75679913961094325 7.2626933787947179 235 231 228 0.35993547779538337 9 2036 6 1291
36 2.1984317977369434 0.34117465391764257 8.2366412472865207 180 177 167 1.0763581411925183 9 93 6 1297
37 2.0183802746313342 0.65187702887315058 8.3867465076859116 104 95 90 0.50030946176356339 9 2015 6 1304
38 -0.38325577054017657 -1.1117388824161281 9.17615297782325 77 130 189 0.18043444066713424 9 368 6 1330
39 2.6493207514473118 0.32308634279725995 8.0241341633207721 67 62 54 0.78614838612564819 9 1157 6 1432
40 3.4453110042336936 0.84608089005550324 5.2565272634716314 205 182 150 1.2688498981902634 9 1941 6 1540
41 2.9370624626233308 0.54600165516147281 7.4005342827113578 188 183 178 0.83941033237377105 9 438 6 1604
42 2.3573758984731454 0.7709300213774859 8.0584263503420477 64 42 33 0.094255043432148439 9 1232 6 1614
43 2.757360854533105 0.70640012257166873 7.6146024291450498 173 165 162 0.77875930910868829 9 1613 6 1735
44 2.2935595257559931 0.58799015265264876 8.1353694838371009 73 63 51 0.6262034032551077 9 335 6 1760
45 1.8887673911293255 0.93504175563016201 8.5860551456725815 149 137 125 2.0723149905239828 9 1658 6 1791
46 2.1788860278085238 0.87080514201580517 8.2935450073232531 235 227 207 0.032893081481603602 9 389 6 1883
